"","Zip Code","White Pop","Afr Am Pop","Asian Pop","Native Am Pacific Pop","Other Pop","Multi Race Pop"
140,"11695","NA","NA","NA","NA","NA","NA"
141,"11697","3560","12","9","0","0","0"
142,"11004","6521","1115","5863","42","42","690"
143,"11005","1740","0","0","0","0","22"
144,"11411","429","18617","65","0","0","364"
145,"11413","957","39347","579","82","82","678"
146,"11422","2177","28615","710","0","0","785"
147,"11426","8767","1031","8931","0","0","642"
148,"11427","6298","5247","8036","0","0","1487"
149,"11428","4536","3780","5112","117","117","2366"
150,"11429","986","21642","723","52","52","656"
151,"11414","22755","813","1177","0","0","1399"
152,"11415","11915","1107","3896","0","0","771"
153,"11416","7720","1606","9234","26","26","1759"
154,"11417","12108","2250","9794","7","7","1743"
155,"11418","15604","2959","10254","0","0","2059"
156,"11419","5478","9013","15548","0","0","3203"
157,"11420","7837","11937","14367","54","54","3370"
158,"11421","21617","1843","8921","0","0","2213"
159,"11368","45355","13897","14013","12","12","2856"
160,"11369","10129","5907","4990","0","0","1225"
161,"11370","14179","4793","7515","0","0","618"
162,"11372","37858","1706","13151","176","176","2100"
163,"11373","23348","2303","48874","12","12","2402"
164,"11377","43531","2141","33982","0","0","2916"
165,"11378","26531","511","3990","32","32","921"
166,"10302","11856","3330","1255","2","2","768"
167,"10303","11298","9269","1893","0","0","873"
168,"10310","14011","5256","1546","0","0","1056"
169,"10306","46587","1597","3499","0","0","930"
170,"10307","14736","53","465","0","0","52"
171,"10308","27805","304","1417","14","14","214"
172,"10309","31146","367","1277","0","0","226"
173,"10312","55809","721","3419","47","47","677"
174,"10301","21731","10554","2347","0","0","2196"
175,"10304","22095","11164","4044","14","14","1118"
176,"10305","31746","2402","5057","0","0","985"
177,"10314","67272","4220","14068","88","88","1863"
