Zip,WhitePop,AfrAmPop,AsianPop,NativeAmPacificPop,OtherPop,MultiRacePop,LatPop,AlaskanAmerIndPop,TotalPop
11419,2037,8701,15361, -   ,12470,2676,10729,418,52392
11420,2963,11375,14302,54,5935,2907,11356,504,49396
11421,7436,1279,8816, -   ,215,489,25257,75,43567
11368,5046,11313,13237, -   ,428,527,83893,203,114647
11369,2741,5373,4936, -   ,108,227,23917,23,37325
11370,8300,4489,7499, -   ,142,393,12944,22,33789
11372,11047,990,12903,108,196,900,38125,29,64298
11373,6611,1826,48606,12,415,1451,37278,154,96353
11377,17508,1663,33767, -   ,170,1713,34667,200,89688
11378,19684,360,3972, -   ,73,477,11209,69,35844
10302,6164,3116,1096,2,277,369,7506,9,18539
10303,4953,8641,1889, -   ,97,529,9673,22,25804
10310,9695,4801,1533, -   ,9,361,7309, -   ,23708
10306,40631,1438,3455, -   ,146,455,7874,22,54021
10307,13501,53,465, -   , -   ,52,1443,14,15528
10308,24852,282,1402, -   , -   ,151,3306,31,30024
10309,29114,185,1277, -   ,91,175,2683,135,33660
10312,50340,664,3405,32,18,565,6011,23,61058
10301,16424,9119,2312, -   ,126,1861,9589,20,39451
10304,15418,10300,4019,14,197,832,10771,333,41884
10305,26593,2277,4974, -   ,179,601,7641,46,42311
10314,57831,3724,13978,88,90,1491,12734,24,89960
