"","Zip","WhitePop","AfrAmPop","AsianPop","NativeAmPacificPop","OtherPop","MultiRacePop","LatPop","AlaskanAmerIndPop"
111,"11356","5941","569","7543","55","6633","877","9591","22"
112,"11357","24778","205","9362","15","1616","1193","6004","90"
113,"11358","13263","459","16591","0","2868","894","6109","88"
114,"11359","0","0","0","0","0","0","0","0"
115,"11360","11465","180","5791","0","435","301","1749","56"
116,"11365","12175","3454","20339","16","3888","1596","8540","183"
117,"11366","5367","806","6734","0","422","444","1148","0"
118,"11367","20206","3502","11519","0","2093","1863","7622","119"
119,"11412","279","34017","1228","22","1238","1313","2517","167"
120,"11423","3245","12161","9597","0","4824","1165","4524","356"
121,"11432","8198","10167","26636","98","10606","2890","16740","316"
122,"11433","199","24343","2599","9","6719","1089","7005","116"
123,"11434","1061","58526","1390","0","3610","1262","5433","46"
124,"11435","7021","14018","14070","22","16774","2809","18130","111"
125,"11436","281","12958","2177","0","3151","935","3279","143"
126,"11101","9631","4814","5970","40","3111","1351","7936","152"
127,"11102","14111","3555","5499","47","4551","870","10211","25"
128,"11103","21627","1021","5820","46","3064","1334","8954","71"
129,"11104","11648","384","5407","0","1521","668","7917","30"
130,"11105","22640","916","5100","0","2461","979","7963","130"
131,"11106","15872","2795","8557","0","5215","1878","11753","81"
132,"11374","19741","1724","13137","0","2843","1794","7535","93"
133,"11375","37039","1896","20712","68","1857","3000","10991","240"
134,"11379","24979","509","3969","0","2255","890","7583","70"
135,"11385","49295","2142","7578","40","7197","2030","47161","242"
136,"11691","16065","30289","1907","62","5430","1053","18083","92"
137,"11692","1890","11997","1193","0","1493","492","5312","126"
138,"11693","5882","2552","591","0","873","664","3543","0"
139,"11694","15846","1463","616","0","1051","236","2895","131"
140,"11695","NA","NA","NA","NA","NA","NA","NA","NA"
141,"11697","3476","12","9","0","121","0","180","0"
142,"11004","5252","1115","5863","42","820","690","2154","100"
143,"11005","1722","0","0","0","0","22","18","0"
144,"11411","247","18617","65","0","492","364","1142","23"
145,"11413","610","39347","579","82","1149","678","2399","103"
146,"11422","1309","28615","710","0","1092","785","2960","100"
147,"11426","6403","1031","8931","0","1715","642","4346","80"
148,"11427","4562","5247","8036","0","2626","1487","3999","115"
149,"11428","2548","3780","5112","117","3938","2366","4925","10"
150,"11429","395","21642","723","52","3397","656","3472","211"
151,"11414","19825","813","1177","0","3059","1399","6870","0"
152,"11415","9506","1107","3896","0","2147","771","4770","64"
153,"11416","3630","1606","9234","26","7221","1759","12224","1"
154,"11417","6547","2250","9794","7","6471","1743","12155","52"
155,"11418","6094","2959","10254","0","8085","2059","17654","306"
156,"11419","2037","9013","15548","0","18628","3203","10729","522"
157,"11420","2963","11937","14367","54","11279","3370","11356","552"
158,"11421","7436","1843","8921","0","8695","2213","25257","278"
159,"11368","5046","13897","14013","12","37794","2856","83893","720"
160,"11369","2741","5907","4990","0","15015","1225","23917","59"
161,"11370","8300","4793","7515","0","6278","618","12944","406"
162,"11372","11047","1706","13151","176","9154","2100","38125","153"
163,"11373","6611","2303","48874","12","18841","2402","37278","573"
164,"11377","17508","2141","33982","0","6823","2916","34667","295"
165,"11378","19684","511","3990","32","3763","921","11209","96"
166,"10302","6164","3330","1255","2","1187","768","7506","141"
167,"10303","4953","9269","1893","0","2372","873","9673","99"
168,"10310","9695","5256","1546","0","1825","1056","7309","14"
169,"10306","40631","1597","3499","0","1386","930","7874","22"
170,"10307","13501","53","465","0","208","52","1443","14"
171,"10308","24852","304","1417","14","219","214","3306","51"
172,"10309","29114","367","1277","0","509","226","2683","135"
173,"10312","50340","721","3419","47","351","677","6011","34"
174,"10301","16424","10554","2347","0","2593","2196","9589","30"
175,"10304","15418","11164","4044","14","3116","1118","10771","333"
176,"10305","26593","2402","5057","0","1764","985","7641","357"
177,"10314","57831","4220","14068","88","2376","1863","12734","73"
