"","Zip","Lat","Lng"
164,"11377",40.74492,-73.9062
165,"11378",40.72381,-73.9028
166,"10302",40.63115,-74.13699
167,"10303",40.63093,-74.15977
168,"10310",40.63245,-74.1167
169,"10306",40.56962,-74.11691
170,"10307",40.50843,-74.24217
171,"10308",40.5512,-74.15078
172,"10309",40.53309,-74.21447
173,"10312",40.5435,-74.17707
174,"10301",40.63176,-74.09112
175,"10304",40.61132,-74.08738
176,"10305",40.59917,-74.07516
177,"10314",40.60459,-74.14568
