Borough,Neighborhood,Zip,naics,est,Median Income,White Pop,Afr Am Pop,Asian Pop,Native Am Pacific Pop,Other Pop,Multi Race Pop,Lat,Lng,Total
Manhattan,Inwood and Washington Heights,10033,713940,4,53044,25298,6049,1136,58,58,5025,40.84971,-73.93579,37624
Manhattan,Inwood and Washington Heights,10034,713940,2,50909,16299,4714,995,99,99,2430,40.86668,-73.92149,24636
Manhattan,Inwood and Washington Heights,10040,713940,1,47189,16319,4590,1201,0,0,2753,40.85808,-73.92994,24863
Queens,Jamaica,11432,713940,3,52975,14385,10167,26636,98,98,2890,40.71184,-73.79366,54274
Queens,Jamaica,11433,713940,1,48795,1144,24343,2599,9,9,1089,40.69756,-73.7884,29193
Queens,Jamaica,11434,713940,1,60702,1891,58526,1390,0,0,1262,40.67631,-73.77527,63069
Bronx,Kingsbridge and Riverdale,10463,713940,10,58881,31955,11285,2442,110,110,4012,40.88134,-73.90593,49914
Bronx,Kingsbridge and Riverdale,10471,713940,1,80932,15240,2313,1520,0,0,764,40.90142,-73.90338,19837
Manhattan,Lower East Side,10002,713940,7,35449,24502,5817,33675,5,5,2697,40.71843,-73.99444,66701
Manhattan,Lower East Side,10003,713940,22,104441,42881,2245,7246,53,53,1265,40.72452,-73.99119,53743
Manhattan,Lower East Side,10009,713940,5,60521,36482,5286,8046,36,36,1988,40.72626,-73.98086,51874
Manhattan,Lower Manhattan,10004,713940,5,140450,2060,34,790,10,10,65,40.70538,-74.01139,2969
Manhattan,Lower Manhattan,10005,713940,9,154213,6494,270,1404,0,0,320,40.70602,-74.00887,8488
Manhattan,Lower Manhattan,10006,713940,1,145893,2490,60,662,0,0,254,40.70771,-74.01316,3466
Manhattan,Lower Manhattan,10007,713940,9,242644,5110,385,955,0,0,457,40.71388,-74.00802,6907
Manhattan,Lower Manhattan,10038,713940,8,85032,11278,2176,7622,0,0,573,40.70912,-74.00537,21649
Manhattan,Lower Manhattan,10280,713940,3,161419,7346,172,1835,0,0,306,40.70824,-74.01764,9659
Staten Island,Mid-Island,10314,713940,10,80956,67272,4220,14068,88,88,1863,40.60459,-74.14568,87599
Queens,North Queens,11354,713940,6,44512,11934,2097,35922,6,6,1548,40.76621,-73.82533,51513
Queens,North Queens,11355,713940,4,38370,10650,2761,60276,83,83,1960,40.75478,-73.82336,75813
Queens,North Queens,11356,713940,1,59712,8370,569,7543,55,55,877,40.7853,-73.84488,17469
